Description	Location	Name	Type (raytrace setting)	Z	X	Y	Size (Height)	Thickness (Width)	angle 	Tolerance	Aperture OD	ud	Specified theta	UDLR	p	q	max_z	min_z	max_x/y	min_x/y	max_pitch/yaw	min_pitch/yaw	Other
HXR undulator	UND	HXCEL50	SOURCE	668.7165000	-1.2500000	0.0000000	0.0074000	0.0010000	0.0000000	0.0000000													
Collimator	FEE	PC1L0	APERTURE	734.9384000	-1.2500000	0.0000000	0.0080000	0.0007500	0.0000000	0.0010000	0.045466												
BTM	FEE	BT1L0	APERTURE	735.0641000	-1.2500000	0.0000000	0.0161040	0.0063500	0.0000000	0.0010000	0.17145												
Mirror	FEE	MR1L0	MIRROR	740.0000000	-1.2500000	0.0000000	1.0000000	0.0500000	0.0021000	0.0000000		u	0.0021000	L					0.0007500	-0.0007500	0.0032500	-0.0032500	
Mirror	FEE	MR1L1	VIRTUAL	741.6000000	-1.2276000	0.0000000	1.0000000	0.0500000	0.0210000	0.0000000													2 hole BTM
BTM	FEE	BT2L0-1	BLANK	743.0522000	-1.1549200	0.0000000	0.0475000	0.0076200	0.0000000	0.0010000													
BTM	FEE	BT2L0-2	BLANK	743.0523000	-1.2122200	0.0000000	0.0340900	0.0076200	0.0000000	0.0010000													
BTM	FEE	BT2L0-3	BLANK	743.0524000	-1.2614900	0.0000000	0.0314300	0.0076200	0.0000000	0.0010000													
Collimator	FEE	PC1L1	VIRTUAL	745.6217000	-1.1149600	0.0000000	0.0080000	0.0101600	0.0280000	0.0010000													
Collimator	FEE	PC2L0	APERTURE	746.2721000	-1.2236600	0.0000000	0.0027500	0.0010000	0.0042000	0.0010000	0.04574												
BTM	FEE	BT3L0	APERTURE	746.3305000	-1.2236600	0.0000000	0.0133400	0.0067000	0.0000000	0.0010000	0.1066800												
Mirror	FEE	MR2L0	MIRROR	747.2860000	-1.2194000	0.0000000	1.0000000	0.0500000	0.0021000	0.0000000		d	0.0021000	R					0.0010000	-0.0010000	0.0042500	-0.0042500	
Beam Splitting Grating	FEE	PF2L0	FREE_TRANSMISSIVE	751.6900000	-1.2194000	0.0000000	0.0040000	0.0010000	0.0000000	0.0000000													Grating pitch 1.1um and 0.66um, 6 keV to 25 keV, truncate at 7th order
Collimator	FEE	PC3L0	APERTURE	752.0240000	-1.2194000	0.0000000	0.0027500	0.0060000	0.0000000	0.0010000	0.0469900												
BTM	FEE	BT4L0	APERTURE	752.0780000	-1.2194000	0.0000000	0.0054200	0.0060000	0.0000000	0.0010000	0.1066700												
BREMSS COLL	FEE	BS3L0	VIRTUAL	752.2360000	-1.2194000	0.0000000	0.0030000	0.0060000	0.0000000	0.0010000													
STOPPER	FEE	ST1L0	VIRTUAL	755.2600000	-1.2194000	0.0000000	0.0350000	0.1000000	0.0000000	0.0010000													
Collimator	FEE	PC4L0	APERTURE	755.7480000	-1.2194000	0.0000000	0.0047500	0.0060000	0.0000000	0.0010000	0.0469900												
BTM	FEE	BT5L0	APERTURE	755.8000000	-1.2194000	0.0000000	0.0054200	0.0060000	0.0000000	0.0010000	0.1066700												
BREMSS COLL	FEE	BS4L0	VIRTUAL	755.9601000	-1.2194000	0.0000000	0.0055000	0.0060000	0.0000000	0.0000000													
Collimator - HE Type	H1.2	PC5L0	APERTURE	777.8520000	-1.2194000	0.0000000	0.0200000	0.0060000	0.0000000	0.0010000	0.0750000												
BTM	H1.2	BT6L0	APERTURE	777.9230000	-1.2194000	0.0000000	0.0202500	0.0060000	0.0000000	0.0010000	0.1066600												
LODCM Crystal 1	H1.3	XL1L2	VIRTUAL	780.2640000	-1.2200000	0.0000000	0.0500000	0.0300000	0.3491000	0.0000000													
LODCM Crystal 2	H1.3	XL1L2-	VIRTUAL	780.2640000	-1.2194000	0.0000000	1.0000000	0.0500000	0.0000000	0.0000000													
Photon Terminator 	H1.3	SF1L2	VIRTUAL	799.6450000	-1.2194000	-0.8900000	0.0630000	0.1000000	0.0000000	0.0000000													
Collimator - HE Type	XRT	PC6L0	APERTURE	803.2230000	-1.2194000	0.0000000	0.0030000	0.0530000	0.0000000	0.0010000	0.0550000												
BTM - TBD	XRT																						
Stopper	XRT	ST2L0	VIRTUAL	803.7920000	-1.2194000	0.0000000	0.0150000	0.0500000	0.0000000	0.0010000													
